"player_api_id","player_name","overall_rating","gk_rating","appearances","league_no"
"251",15425,"Veldin Muharemovic",57,119,3,1
"252",15608,"Amir Spahic",60,52,62,1
"253",15661,"Davor Landeka",58,66,6,1
"254",15662,"Sulejman Smajic",69,125,29,1
"255",15732,"Ivan Radovanovic",73,27,113,1
"256",15905,"Stanley Aborah",66,62,6,1
"257",15938,"Jovan Kostovski",66,69,11,1
"258",16199,"Boban Bajkovic",68,344,22,1
"259",16210,"Marko Perovic",70,43,4,1
"260",16218,"Simon Vukcevic",79,150,33,2
"261",16230,"Milan Smiljanic",71,116,11,1
"262",16254,"Dusan Veskovac",70,59,158,2
"263",16292,"Branko Lazarevic",66,53,4,1
"264",16300,"Gojko Kacar",78,145,88,1
"265",16323,"Nikola Nikezic",63,120,2,1
"266",16351,"Aleksandar Kolarov",79,154,157,2
"267",16362,"Andjelko Djuricic",68,344,27,1
"268",16368,"Savo Pavicevic",67,129,17,1
"269",16387,"Mladen Lazarevic",61,127,20,1
"270",16428,"Ivan Stevanovic",65,46,5,1
"271",16475,"Nikola Vukcevic",73,67,15,1
"272",16493,"Pavle Ninkov",71,57,76,1
"273",16511,"Konstantin Vassiljev",71,56,37,1
"274",16636,"Mikhail Sivakov",68,145,14,1
"275",16678,"Anton Putsila",73,46,37,1
"276",17233,"Zlatko Janjic",66,59,1,1
"277",17259,"Marnix Kolder",65,51,46,1
"278",17276,"Aloys Nong",70,46,69,1
"279",17296,"Claude Gnakpa",58,57,2,1
"280",17299,"Carlos Carmona",72,61,16,1
"281",17312,"Anther Yahia",76,137,49,1
"282",17319,"Kenny Deuchar",65,118,28,1
"283",17343,"David Barron",62,57,63,1
"284",17361,"Iain Davidson",61,43,43,1
"285",17391,"Andy Jackson",63,125,10,1
"286",17480,"Martin Canning",65,46,113,1
"287",17525,"Jim McAlister",64,57,87,1
"288",17528,"Chris Millar",63,58,191,1
"289",17568,"Gavin Skelton",63,124,50,1
"290",17600,"Darren McGregor",68,54,80,1
"291",17606,"Liam Buchanan",61,59,14,1
"292",17620,"Stuart Kettlewell",63,41,41,1
"293",17703,"Jeremy Perbet",73,42,84,2
"294",17711,"Gareth Wardlaw",62,56,16,1
"295",17749,"Iain Vigurs",68,53,116,1
"296",17761,"Jacob Mulenga",72,53,79,1
"297",17762,"Ghislain Gimbert",69,61,5,1
"298",17806,"Nassim Akrour",70,53,50,1
"299",17836,"Angelo",72,57,50,1
"300",17848,"Robert Braber",67,49,97,1
"301",17855,"Edouard Duplan",72,62,157,1
"302",17866,"Andrew Reid",78,126,40,1
"303",17869,"Dusan Kuciak",72,348,117,1
"304",17875,"Jordan Loties",74,48,117,2
"305",17883,"Emanuel Obiora Odita,19",65,120,19,1
"306",17887,"Matt Done",64,35,6,1
"307",18164,"Mariano Pavone",77,126,8,1
"308",18376,"Matias Fritzler",68,46,22,1
"309",18384,"Diego Valeri",78,60,4,2
"310",18388,"Leandro Gioda,28",73,111,28,1
"311",18395,"Marcos Aguirre",73,107,5,1
"312",18483,"Pablo Javier Perez",78,57,6,1
"313",18500,"Maximiliano Pellegrino",77,127,35,1
"314",18501,"Hernan Pellerano",74,136,67,1
"315",18506,"Mauro Zarate",84,143,119,2
"316",18518,"Jose Sosa",82,142,22,3
"317",18520,"Marcos Angeleri",76,48,59,1
"318",18521,"Jose Maria Basanta",78,51,23,1
"319",18533,"Loic Loval-Landre",67,145,13,1
"320",18548,"Jose Ze Pedro",74,149,57,1
"321",18549,"Tiago Targino",73,142,55,1
"322",18552,"Ferreira de Matos Alonso",71,56,55,1
